reported_quarter,issued_on,body_words,hedge_rate,pos_rate,neg_rate,plc_hedge_rate,plc_pos_rate,plc_neg_rate,net_tone,plc_net_tone,quarter
2019Q3,2019-11-12,1003,5.982053838484546,5.982053838484546,1.9940179461615153,5.710206995003569,1.4275517487508922,1.0706638115631693,3.988035892323031,0.35688793718772294,2019Q4
2019Q4,2020-02-13,1224,4.901960784313726,9.803921568627452,0.8169934640522876,5.569091541942221,1.3922728854855553,1.0442046641141665,8.986928104575163,0.3480682213713888,2020Q1
2020Q1,2020-05-11,1098,8.196721311475411,4.553734061930784,0.9107468123861566,7.59089093088294,1.5980823012385137,1.1985617259288852,3.642987249544627,0.3995205753096285,2020Q2
2020Q2,2020-08-06,1127,4.436557231588288,4.436557231588288,0.8873114463176576,8.007391438250693,1.2319063751154913,0.9239297813366184,3.5492457852706303,0.3079765937788729,2020Q3
2020Q3,2020-11-10,1348,4.451038575667656,5.934718100890208,2.967359050445104,6.8697729988052565,1.194743130227001,0.8960573476702509,2.967359050445104,0.29868578255675016,2020Q4
2020Q4,2021-02-11,1332,5.255255255255256,7.5075075075075075,0.7507507507507507,6.837098692033293,1.1890606420927465,0.8917954815695601,6.756756756756757,0.2972651605231864,2021Q1
2021Q1,2021-05-06,970,9.278350515463918,10.309278350515465,1.0309278350515465,7.5728890571753125,1.5145778114350623,1.135933358576297,9.278350515463918,0.37864445285876536,2021Q2
2021Q2,2021-08-05,1094,5.484460694698354,7.312614259597806,0.9140767824497258,7.216818324443049,1.2550988390335738,0.9413241292751804,6.39853747714808,0.3137747097583934,2021Q3
2021Q3,2021-11-04,1023,4.887585532746823,5.865102639296188,1.9550342130987293,6.955422067657287,1.2646221941195068,0.94846664558963,3.9100684261974585,0.3161555485298768,2021Q4
2021Q4,2022-02-10,1023,5.865102639296188,7.820136852394917,3.9100684261974585,6.847183317771552,1.556178026766262,0.9337068160597572,3.9100684261974585,0.6224712107065047,2022Q1
2022Q1,2022-05-05,771,10.376134889753567,10.376134889753567,1.297016861219196,7.112375533428165,2.1337126600284497,1.0668563300142249,9.07911802853437,1.0668563300142249,2022Q2
2022Q2,2022-08-04,915,5.46448087431694,6.557377049180328,1.092896174863388,6.64346725719709,2.214489085732363,0.9490667510281556,5.46448087431694,1.2654223347042073,2022Q3
2022Q3,2022-11-03,940,4.25531914893617,8.51063829787234,2.127659574468085,6.673021925643471,2.224340641881157,0.9532888465204957,6.382978723404255,1.2710517953606613,2022Q4
2022Q4,2023-02-16,880,4.545454545454545,7.954545454545454,1.1363636363636362,6.050955414012739,2.229299363057325,0.9554140127388535,6.818181818181818,1.2738853503184713,2023Q1
2023Q1,2023-05-04,822,8.51581508515815,7.299270072992701,2.4330900243309004,6.080114449213162,2.503576537911302,1.0729613733905579,4.8661800486618,1.430615164520744,2023Q2
2023Q2,2023-08-08,1025,3.902439024390244,5.853658536585366,0.975609756097561,5.834683954619124,2.26904376012966,0.9724473257698542,4.878048780487805,1.296596434359806,2023Q3
2023Q3,2023-11-07,747,5.35475234270415,9.370816599732263,1.3386880856760375,5.834683954619124,2.26904376012966,0.9724473257698542,8.032128514056225,1.296596434359806,2023Q4
2023Q4,2024-02-13,1277,3.1323414252153485,7.047768206734534,0.7830853563038371,6.066120715802244,2.1231422505307855,0.9099181073703367,6.264682850430697,1.2132241431604487,2024Q1
2024Q1,2024-05-07,874,8.009153318077804,4.576659038901602,1.1441647597254005,6.520247083047358,2.40219629375429,1.0295126973232671,3.4324942791762014,1.3726835964310227,2024Q2
2024Q2,2024-08-08,1079,3.7071362372567194,4.633920296570898,0.9267840593141798,6.082725060827251,2.1289537712895377,0.9124087591240876,3.7071362372567185,1.21654501216545,2024Q3
2024Q3,2024-11-07,775,5.161290322580645,6.451612903225806,2.5806451612903225,6.08457560085184,2.129601460298144,0.912686340127776,3.8709677419354835,1.216915120170368,2024Q4
2024Q4,2025-02-13,1057,4.7303689687795645,6.622516556291391,1.8921475875118259,5.971931919976113,2.090176171991639,0.8957897879964168,4.730368968779565,1.1943863839952225,2025Q1
2025Q1,2025-05-06,840,8.333333333333334,5.952380952380952,1.1904761904761907,6.549465701482247,2.412961047914512,1.0341261633919339,4.761904761904761,1.3788348845225782,2025Q2
2025Q2,2025-08-07,1082,3.6968576709796674,5.545286506469501,2.7726432532347505,6.9064748201438855,2.014388489208633,0.8633093525179857,2.7726432532347505,1.1510791366906474,2025Q3
2025Q3,2025-11-06,900,4.444444444444445,7.777777777777778,1.1111111111111112,6.626332469029098,2.016709881878421,0.8643042350907519,6.666666666666666,1.152405646787669,2025Q4
2025Q4,2026-02-10,986,4.056795131845842,7.099391480730223,2.028397565922921,6.526674233825198,1.9863791146424516,0.851305334846765,5.070993914807302,1.1350737797956867,2026Q1
2026Q1,2026-05-07,1046,6.692160611854685,4.780114722753346,1.9120458891013383,7.087628865979381,2.2551546391752577,0.9664948453608248,2.868068833652008,1.2886597938144329,2026Q2
2026Q2,2026-08-06,775,5.161290322580645,7.741935483870968,1.2903225806451613,6.7547723935389135,2.0558002936857562,0.881057268722467,6.451612903225807,1.174743024963289,2026Q3
